index	name	station	fc	amplitude	type	basin	wtype	magnitude	depth	latitude	longitude	azimuth	slatitude	slongitude	PGAtoth	PGAtotv	PGVtoth	PGVtotv	PGDtoth	PGDtotv	RMSh	RMSv	CAVh	CAVv	Ecumh	Ecumv	t_5_95h_1	t_5_95h_2	t_5_95v_1	t_5_95v_2	Tdh	Tdv	ariash	ariasv	PredPSa_h	PredPeriod_h	SI_h	PredPSa_v	SI_v	PredPSa_hw	PredPeriod_hw	SI_hw	PredPSa_vw	PredPeriod_vw	SI_vw	Tmh	Fmh	Tmv	Fmv	Peak Period controlled by	PSa difference	SI difference
11463	2010_04_04	14221	0.19	0.87	Ret	Los_Angeles	Rayleigh	7.2	10	32.26	-115.29	3.815	33.89	118.41	8.107593156	3.109922516	8.00510324	1.591940308	7.70431699	0.97349192	1.842737081	0.615159083	246.8516169	83.09855714	840.4308041	93.65912444	88.33333333	179.8333333	83.66666667	177.5	91.66666667	94	134.571419	14.99688161	23.40214385	3.21	36.73784125	14.17400496	17.18971665	33.53688312	2.25	47.72388193	14.83913447	1.92	19.23958288	2.063762706	0.671579448	1.947677226	0.656108041	Surface	10.13473927	1.29903882
11471	2010_04_04	14824	0.24	0.68	Ret	Los_Angeles	Rayleigh	7.2	10	32.26	-115.29	4.445	33.87	118.29	8.145051154	3.376670265	6.48213125	1.100924438	6.51383644	0.92772081	1.304332073	0.443733232	96.71010311	36.26236775	298.5750244	34.55580698	64.5	104.6666667	66.66666667	106.5	40.33333334	40	47.80841505	5.533143188	26.26734613	1.63	36.25831564	11.63352077	14.78723343	25.77557981	1.62	39.76876816	12.40673466	1.6	17.35215688	1.905885256	0.63925186	2.135086334	0.569151621	Body	-0.491766316	1.09681786
11540	2010_04_04	LTP	0.14	1.49	Ret	Los_Angeles	Rayleigh	7.2	10	32.26	-115.29	5.085	33.88	118.18	8.25994047	3.414103063	5.137292177	1.527462569	4.83154629	1.38510591	1.339167021	0.474560573	285.6672398	114.0558904	761.2848632	95.60068637	122	258.1666667	101.5	276.5	136.3333333	175.1666667	121.8984166	15.3077683	33.06036944	1.93	52.14293648	10.53390034	15.94717791	41.34063003	1.6	59.67581698	11.91712017	2.23	17.38630399	1.660138458	0.878507817	1.950623222	0.784098022	Surface	8.280260598	1.144465982
11470	2010_04_04	14822	0.18	0.59	Ret	Los_Angeles	Rayleigh	7.2	10	32.26	-115.29	5.195	33.95	118.38	8.341698266	3.355324066	6.265668055	1.336776693	6.28170496	1.10552936	1.467395085	0.619164696	166.261914	69.65615297	479.097764	85.2986967	77.5	144.1666667	82.16666667	148.5	66.83333334	66.5	76.71406808	13.65819362	30.31867884	1.64	40.37623642	15.50709544	19.71175576	30.60909502	1.65	42.30635329	17.12549927	1.65	21.79731877	1.815643623	0.751481806	1.894003696	0.656263675	Surface	0.290416182	1.047803288
11547	2010_04_04	WTT	0.22	0.72	Ret	Los_Angeles	Rayleigh	7.2	10	32.26	-115.29	4.699	33.95	118.26	8.808732008	3.066831237	6.399557692	1.311926014	6.26023748	1.14096935	1.27541858	0.370271549	266.0511836	82.68158187	686.1931562	57.83378154	87.83333333	269	78.5	279.6666667	181.3333333	201.3333333	109.8745861	9.260457861	26.86743867	2.19	42.78648629	9.267972435	14.57067514	29.90408908	1.77	47.01557056	11.19163161	1.99	15.6973406	1.602828413	1.011621024	1.644693905	0.977336549	Surface	3.036650409	1.098841588
11176	1999_10_16	14767	0.24	0.53	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.352	33.96	118.38	10.54671006	4.369172585	6.782683844	1.761403045	6.33270917	1.04877735	2.036908307	0.78611464	210.3140519	79.47480081	844.3205911	125.7581649	66	130.8333333	69.33333333	127.8333333	65	58.66666667	135.1942592	20.13664256	30.19564264	2.22	57.12095273	14.72534596	23.46925401	34.64330947	1.39	64.7273622	15.03452145	1.23	25.27490557	1.597298304	0.886150884	1.95988454	0.732954544	Surface	4.447666832	1.133163211
11465	2010_04_04	14400	0.2	0.57	Ret	Los_Angeles	Rayleigh	7.2	10	32.26	-115.29	4.451	33.84	118.07	10.73350073	3.5096899	5.365066873	1.562567669	5.78743412	1.01429379	1.905295182	0.64810768	214.9085211	74.91393702	814.9686305	94.29978226	85	154	72.83333333	155.1666667	69.16666667	82.50000001	130.4943661	15.09946499	42.81989968	1.68	56.53409044	14.11419963	20.79290849	48.28741618	1.59	66.22643338	14.34146993	2.17	21.59708447	1.56195473	0.966599207	1.933450911	0.719880345	Surface	5.467516497	1.171442449
11186	1999_10_16	14831	0.14	0.55	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.298	33.79	118.32	11.1221416	4.566108057	10.63084437	1.413345332	9.82472161	0.94018853	2.774666133	0.740715778	326.8266122	90.12395148	1705.278065	121.5281622	69.16666667	146.1666667	69	149.8333333	77.16666667	81	273.0524486	19.45932627	35.12941198	2.31	51.56916941	12.26814846	19.7873924	38.14268842	2.39	62.99761538	13.797647	0.95	24.58243786	1.907087488	0.817505237	1.987320133	0.776463086	Surface	3.013276442	1.221613924
11502	Tohoku	AIC003	0.42	0.59	Ret	Nagoya	Rayleigh	9	24	38.1	142.86	1.572	35.17	136.74	11.16412178	4.242438222	6.451932933	1.971068733	5.38189539	4.46668916	1.884191374	0.698602949	553.6578109	196.8047201	1904.84754	261.8611245	159.45	343.05	166.2	328.8	183.75	162.75	305.0079021	41.92971381	48.33729782	2.38	70.40877586	23.25370126	25.29923379	56.67378226	2.57	90.0893455	29.48844602	2.54	34.8531838	1.819429766	0.688268682	2.161146541	0.546159858	Surface	8.336484441	1.279518702
11177	1999_10_16	14820	0.21	0.56	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.315	33.99	118.34	11.25143631	6.99285896	6.50876975	2.090481678	5.90846234	1.12007055	2.300329226	0.941118038	248.7276565	94.19267452	1092.697776	182.8977066	66.5	132	67.33333333	127.1666667	65.66666667	60.00000001	174.9648983	29.28593737	40.10234281	0.91	68.36662076	22.1258764	34.4823287	49.28636388	1.2	79.89950177	22.57288518	1.32	36.6134375	1.657061238	0.856231112	1.470727017	0.932641183	Surface	9.184021071	1.168691693
